fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-10-23,22002,Alto Beni,La Paz,12123,2,25
2021-10-23,22002,Alto Beni,La Paz,12123,1,26
2021-11-27,22002,Alto Beni,La Paz,12123,2,27
2021-10-30,22002,Alto Beni,La Paz,12123,1,26
2021-10-30,22002,Alto Beni,La Paz,12123,2,25
2021-11-13,22002,Alto Beni,La Paz,12123,2,27
2021-11-20,22002,Alto Beni,La Paz,12123,1,29
2021-11-20,22002,Alto Beni,La Paz,12123,2,27
2021-12-04,22002,Alto Beni,La Paz,12123,2,28
2021-12-04,22002,Alto Beni,La Paz,12123,1,30
2021-11-27,22002,Alto Beni,La Paz,12123,1,29
2021-11-13,22002,Alto Beni,La Paz,12123,1,29
