fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-10-23,40603,Antequera,Oruro,3070,1,83
2021-10-23,40603,Antequera,Oruro,3070,2,80
2021-10-30,40603,Antequera,Oruro,3070,1,84
2021-10-30,40603,Antequera,Oruro,3070,2,80
2021-11-13,40603,Antequera,Oruro,3070,2,82
2021-11-20,40603,Antequera,Oruro,3070,2,82
2021-11-27,40603,Antequera,Oruro,3070,1,86
2021-11-27,40603,Antequera,Oruro,3070,2,82
2021-12-04,40603,Antequera,Oruro,3070,1,87
2021-12-04,40603,Antequera,Oruro,3070,2,82
2021-11-13,40603,Antequera,Oruro,3070,1,85
2021-11-20,40603,Antequera,Oruro,3070,1,86
