fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-12-04,20701,Apolo,La Paz,22046,1,23
2021-11-13,20701,Apolo,La Paz,22046,1,21
2021-12-04,20701,Apolo,La Paz,22046,2,19
2021-10-30,20701,Apolo,La Paz,22046,1,19
2021-10-23,20701,Apolo,La Paz,22046,1,19
2021-10-30,20701,Apolo,La Paz,22046,2,15
2021-11-13,20701,Apolo,La Paz,22046,2,17
2021-11-20,20701,Apolo,La Paz,22046,1,21
2021-11-20,20701,Apolo,La Paz,22046,2,17
2021-11-27,20701,Apolo,La Paz,22046,1,21
2021-11-27,20701,Apolo,La Paz,22046,2,17
2021-10-23,20701,Apolo,La Paz,22046,2,15
