fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-12-04,20502,Ayata,La Paz,8693,2,27
2021-11-27,20502,Ayata,La Paz,8693,1,26
2021-11-20,20502,Ayata,La Paz,8693,2,24
2021-11-20,20502,Ayata,La Paz,8693,1,26
2021-11-13,20502,Ayata,La Paz,8693,2,24
2021-11-13,20502,Ayata,La Paz,8693,1,26
2021-10-30,20502,Ayata,La Paz,8693,2,23
2021-10-30,20502,Ayata,La Paz,8693,1,25
2021-10-23,20502,Ayata,La Paz,8693,2,23
2021-10-23,20502,Ayata,La Paz,8693,1,25
2021-12-04,20502,Ayata,La Paz,8693,1,28
2021-11-27,20502,Ayata,La Paz,8693,2,24
