fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2022-01-22,30301,Ayopaya (V. De Independencia),Cochabamba,24898,2,45
2021-12-04,30301,Ayopaya (V. De Independencia),Cochabamba,24898,1,45
2021-10-30,30301,Ayopaya (V. De Independencia),Cochabamba,24898,2,36
2021-12-04,30301,Ayopaya (V. De Independencia),Cochabamba,24898,2,43
2022-01-22,30301,Ayopaya (V. De Independencia),Cochabamba,24898,1,53
2021-12-18,30301,Ayopaya (V. De Independencia),Cochabamba,24898,2,44
2021-10-23,30301,Ayopaya (V. De Independencia),Cochabamba,24898,1,40
2021-10-23,30301,Ayopaya (V. De Independencia),Cochabamba,24898,2,36
2021-10-30,30301,Ayopaya (V. De Independencia),Cochabamba,24898,1,40
2021-12-18,30301,Ayopaya (V. De Independencia),Cochabamba,24898,1,46
2021-11-13,30301,Ayopaya (V. De Independencia),Cochabamba,24898,1,43
2021-11-13,30301,Ayopaya (V. De Independencia),Cochabamba,24898,2,41
2021-11-20,30301,Ayopaya (V. De Independencia),Cochabamba,24898,1,44
2021-11-20,30301,Ayopaya (V. De Independencia),Cochabamba,24898,2,41
2021-11-27,30301,Ayopaya (V. De Independencia),Cochabamba,24898,1,44
2021-11-27,30301,Ayopaya (V. De Independencia),Cochabamba,24898,2,42
