fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-27,90101,Cobija,Pando,78555,1,67
2021-10-23,90101,Cobija,Pando,78555,1,65
2021-10-23,90101,Cobija,Pando,78555,2,47
2021-10-30,90101,Cobija,Pando,78555,1,66
2021-10-30,90101,Cobija,Pando,78555,2,48
2021-11-13,90101,Cobija,Pando,78555,1,67
2021-11-13,90101,Cobija,Pando,78555,2,49
2021-11-20,90101,Cobija,Pando,78555,1,67
2021-11-20,90101,Cobija,Pando,78555,2,49
2021-11-27,90101,Cobija,Pando,78555,2,49
2021-12-04,90101,Cobija,Pando,78555,1,69
2021-12-04,90101,Cobija,Pando,78555,2,51
2021-12-18,90101,Cobija,Pando,78555,1,70
2021-12-18,90101,Cobija,Pando,78555,2,52
2022-01-22,90101,Cobija,Pando,78555,1,74
2022-01-22,90101,Cobija,Pando,78555,2,57
