fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-20,10405,El Villar,Chuquisaca,4644,1,65
2021-12-04,10405,El Villar,Chuquisaca,4644,2,58
2021-12-04,10405,El Villar,Chuquisaca,4644,1,65
2021-11-27,10405,El Villar,Chuquisaca,4644,2,58
2021-11-27,10405,El Villar,Chuquisaca,4644,1,65
2021-11-20,10405,El Villar,Chuquisaca,4644,2,58
2021-10-30,10405,El Villar,Chuquisaca,4644,2,57
2021-11-13,10405,El Villar,Chuquisaca,4644,2,58
2021-11-13,10405,El Villar,Chuquisaca,4644,1,65
2021-10-30,10405,El Villar,Chuquisaca,4644,1,64
2021-10-23,10405,El Villar,Chuquisaca,4644,2,57
2021-10-23,10405,El Villar,Chuquisaca,4644,1,64
