fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-13,10502,Huacareta,Chuquisaca,8351,2,82
2021-11-27,10502,Huacareta,Chuquisaca,8351,1,87
2021-11-20,10502,Huacareta,Chuquisaca,8351,2,82
2021-11-20,10502,Huacareta,Chuquisaca,8351,1,87
2021-11-13,10502,Huacareta,Chuquisaca,8351,1,87
2021-10-30,10502,Huacareta,Chuquisaca,8351,2,76
2021-10-30,10502,Huacareta,Chuquisaca,8351,1,84
2021-10-23,10502,Huacareta,Chuquisaca,8351,2,76
2021-10-23,10502,Huacareta,Chuquisaca,8351,1,83
2021-12-04,10502,Huacareta,Chuquisaca,8351,2,83
2021-11-27,10502,Huacareta,Chuquisaca,8351,2,82
2021-12-04,10502,Huacareta,Chuquisaca,8351,1,88
