fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-27,10304,Icla,Chuquisaca,7777,2,39
2021-12-04,10304,Icla,Chuquisaca,7777,1,48
2021-10-30,10304,Icla,Chuquisaca,7777,2,29
2021-12-04,10304,Icla,Chuquisaca,7777,2,42
2021-11-20,10304,Icla,Chuquisaca,7777,2,39
2021-11-27,10304,Icla,Chuquisaca,7777,1,46
2021-11-20,10304,Icla,Chuquisaca,7777,1,46
2021-11-13,10304,Icla,Chuquisaca,7777,2,39
2021-11-13,10304,Icla,Chuquisaca,7777,1,46
2021-10-30,10304,Icla,Chuquisaca,7777,1,40
2021-10-23,10304,Icla,Chuquisaca,7777,2,28
2021-10-23,10304,Icla,Chuquisaca,7777,1,39
