fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-12-04,50404,Ocuri,Potosí,14666,1,33
2021-11-20,50404,Ocuri,Potosí,14666,2,27
2022-01-22,50404,Ocuri,Potosí,14666,2,30
2022-01-22,50404,Ocuri,Potosí,14666,1,35
2021-12-18,50404,Ocuri,Potosí,14666,2,28
2021-12-18,50404,Ocuri,Potosí,14666,1,34
2021-12-04,50404,Ocuri,Potosí,14666,2,28
2021-11-27,50404,Ocuri,Potosí,14666,2,27
2021-11-27,50404,Ocuri,Potosí,14666,1,32
2021-11-20,50404,Ocuri,Potosí,14666,1,32
2021-11-13,50404,Ocuri,Potosí,14666,2,27
2021-11-13,50404,Ocuri,Potosí,14666,1,31
2021-10-30,50404,Ocuri,Potosí,14666,2,24
2021-10-30,50404,Ocuri,Potosí,14666,1,29
2021-10-23,50404,Ocuri,Potosí,14666,2,24
2021-10-23,50404,Ocuri,Potosí,14666,1,29
