fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-20,30202,Pasorapa,Cochabamba,7284,1,38
2021-12-04,30202,Pasorapa,Cochabamba,7284,2,37
2021-11-27,30202,Pasorapa,Cochabamba,7284,2,37
2021-11-27,30202,Pasorapa,Cochabamba,7284,1,38
2021-11-20,30202,Pasorapa,Cochabamba,7284,2,37
2021-12-18,30202,Pasorapa,Cochabamba,7284,1,39
2021-11-13,30202,Pasorapa,Cochabamba,7284,2,37
2021-11-13,30202,Pasorapa,Cochabamba,7284,1,38
2021-10-30,30202,Pasorapa,Cochabamba,7284,2,37
2021-10-30,30202,Pasorapa,Cochabamba,7284,1,38
2021-10-23,30202,Pasorapa,Cochabamba,7284,2,37
2021-12-18,30202,Pasorapa,Cochabamba,7284,2,37
2022-01-22,30202,Pasorapa,Cochabamba,7284,1,39
2022-01-22,30202,Pasorapa,Cochabamba,7284,2,38
2021-10-23,30202,Pasorapa,Cochabamba,7284,1,38
2021-12-04,30202,Pasorapa,Cochabamba,7284,1,38
