fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-13,51203,Porco,Potosí,11395,2,28
2021-10-23,51203,Porco,Potosí,11395,2,23
2021-12-04,51203,Porco,Potosí,11395,2,33
2021-12-04,51203,Porco,Potosí,11395,1,38
2021-11-27,51203,Porco,Potosí,11395,2,28
2021-11-27,51203,Porco,Potosí,11395,1,36
2021-10-30,51203,Porco,Potosí,11395,2,23
2021-11-20,51203,Porco,Potosí,11395,2,28
2021-10-30,51203,Porco,Potosí,11395,1,31
2021-10-23,51203,Porco,Potosí,11395,1,31
2021-11-20,51203,Porco,Potosí,11395,1,36
2021-11-13,51203,Porco,Potosí,11395,1,36
