fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-10-30,30404,Sacabamba,Cochabamba,4508,1,53
2021-11-13,30404,Sacabamba,Cochabamba,4508,1,56
2021-11-13,30404,Sacabamba,Cochabamba,4508,2,45
2021-11-20,30404,Sacabamba,Cochabamba,4508,1,57
2021-11-20,30404,Sacabamba,Cochabamba,4508,2,45
2021-12-18,30404,Sacabamba,Cochabamba,4508,2,49
2021-12-18,30404,Sacabamba,Cochabamba,4508,1,59
2021-12-04,30404,Sacabamba,Cochabamba,4508,2,48
2021-12-04,30404,Sacabamba,Cochabamba,4508,1,59
2022-01-22,30404,Sacabamba,Cochabamba,4508,2,55
2021-10-23,30404,Sacabamba,Cochabamba,4508,1,51
2021-10-23,30404,Sacabamba,Cochabamba,4508,2,43
2022-01-22,30404,Sacabamba,Cochabamba,4508,1,70
2021-11-27,30404,Sacabamba,Cochabamba,4508,2,46
2021-10-30,30404,Sacabamba,Cochabamba,4508,2,43
2021-11-27,30404,Sacabamba,Cochabamba,4508,1,57
