fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-13,80302,San Borja,Beni,44657,1,25
2021-12-04,80302,San Borja,Beni,44657,2,24
2021-10-23,80302,San Borja,Beni,44657,1,23
2021-10-23,80302,San Borja,Beni,44657,2,20
2021-10-30,80302,San Borja,Beni,44657,1,23
2021-10-30,80302,San Borja,Beni,44657,2,21
2021-11-20,80302,San Borja,Beni,44657,1,26
2021-11-13,80302,San Borja,Beni,44657,2,22
2021-11-20,80302,San Borja,Beni,44657,2,22
2021-11-27,80302,San Borja,Beni,44657,1,26
2021-12-04,80302,San Borja,Beni,44657,1,27
2021-11-27,80302,San Borja,Beni,44657,2,22
