fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-12-04,80102,San Javier(Bni),Beni,5906,2,26
2021-11-20,80102,San Javier(Bni),Beni,5906,2,16
2021-12-04,80102,San Javier(Bni),Beni,5906,1,28
2021-11-27,80102,San Javier(Bni),Beni,5906,2,16
2021-11-27,80102,San Javier(Bni),Beni,5906,1,19
2021-10-23,80102,San Javier(Bni),Beni,5906,1,17
2021-11-20,80102,San Javier(Bni),Beni,5906,1,19
2021-10-30,80102,San Javier(Bni),Beni,5906,2,15
2021-10-23,80102,San Javier(Bni),Beni,5906,2,15
2021-10-30,80102,San Javier(Bni),Beni,5906,1,17
2021-11-13,80102,San Javier(Bni),Beni,5906,2,16
2021-11-13,80102,San Javier(Bni),Beni,5906,1,19
