fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-12-04,80701,San Joaquin,Beni,8038,1,51
2021-11-13,80701,San Joaquin,Beni,8038,1,48
2021-11-20,80701,San Joaquin,Beni,8038,1,49
2021-11-13,80701,San Joaquin,Beni,8038,2,37
2021-12-04,80701,San Joaquin,Beni,8038,2,42
2021-11-20,80701,San Joaquin,Beni,8038,2,37
2021-11-27,80701,San Joaquin,Beni,8038,1,49
2021-10-30,80701,San Joaquin,Beni,8038,1,46
2021-10-30,80701,San Joaquin,Beni,8038,2,35
2021-10-23,80701,San Joaquin,Beni,8038,1,44
2021-10-23,80701,San Joaquin,Beni,8038,2,35
2021-11-27,80701,San Joaquin,Beni,8038,2,37
