fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2022-01-22,21801,San Pedro De Curahuara,La Paz,9016,2,34
2021-11-13,21801,San Pedro De Curahuara,La Paz,9016,2,32
2022-01-22,21801,San Pedro De Curahuara,La Paz,9016,1,38
2021-12-18,21801,San Pedro De Curahuara,La Paz,9016,1,34
2021-12-04,21801,San Pedro De Curahuara,La Paz,9016,2,32
2021-12-04,21801,San Pedro De Curahuara,La Paz,9016,1,33
2021-11-27,21801,San Pedro De Curahuara,La Paz,9016,2,32
2021-11-27,21801,San Pedro De Curahuara,La Paz,9016,1,33
2021-11-20,21801,San Pedro De Curahuara,La Paz,9016,2,32
2021-11-20,21801,San Pedro De Curahuara,La Paz,9016,1,33
2021-11-13,21801,San Pedro De Curahuara,La Paz,9016,1,33
2021-10-30,21801,San Pedro De Curahuara,La Paz,9016,2,29
2021-10-30,21801,San Pedro De Curahuara,La Paz,9016,1,30
2021-10-23,21801,San Pedro De Curahuara,La Paz,9016,2,29
2021-10-23,21801,San Pedro De Curahuara,La Paz,9016,1,29
2021-12-18,21801,San Pedro De Curahuara,La Paz,9016,2,32
