fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-13,80702,San Ramon,Beni,5216,2,56
2021-10-23,80702,San Ramon,Beni,5216,1,61
2021-10-23,80702,San Ramon,Beni,5216,2,52
2021-10-30,80702,San Ramon,Beni,5216,1,62
2021-10-30,80702,San Ramon,Beni,5216,2,52
2021-11-13,80702,San Ramon,Beni,5216,1,66
2021-11-20,80702,San Ramon,Beni,5216,1,67
2021-11-27,80702,San Ramon,Beni,5216,1,67
2021-11-27,80702,San Ramon,Beni,5216,2,56
2021-12-04,80702,San Ramon,Beni,5216,1,69
2021-12-04,80702,San Ramon,Beni,5216,2,60
2021-11-20,80702,San Ramon,Beni,5216,2,56
