fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-10-23,20308,Santiago De Callapa,La Paz,6939,2,16
2021-10-30,20308,Santiago De Callapa,La Paz,6939,1,20
2021-12-04,20308,Santiago De Callapa,La Paz,6939,2,20
2021-12-04,20308,Santiago De Callapa,La Paz,6939,1,23
2021-11-27,20308,Santiago De Callapa,La Paz,6939,2,18
2021-11-27,20308,Santiago De Callapa,La Paz,6939,1,22
2021-11-20,20308,Santiago De Callapa,La Paz,6939,2,18
2021-11-20,20308,Santiago De Callapa,La Paz,6939,1,22
2021-11-13,20308,Santiago De Callapa,La Paz,6939,2,18
2021-11-13,20308,Santiago De Callapa,La Paz,6939,1,22
2021-10-30,20308,Santiago De Callapa,La Paz,6939,2,17
2021-10-23,20308,Santiago De Callapa,La Paz,6939,1,19
