fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-20,40202,Santuario De Quillacas,Oruro,4474,2,39
2021-12-18,40202,Santuario De Quillacas,Oruro,4474,1,40
2021-12-04,40202,Santuario De Quillacas,Oruro,4474,2,40
2021-12-04,40202,Santuario De Quillacas,Oruro,4474,1,40
2021-11-27,40202,Santuario De Quillacas,Oruro,4474,2,39
2021-11-27,40202,Santuario De Quillacas,Oruro,4474,1,40
2021-11-13,40202,Santuario De Quillacas,Oruro,4474,2,39
2021-11-20,40202,Santuario De Quillacas,Oruro,4474,1,40
2022-01-22,40202,Santuario De Quillacas,Oruro,4474,2,40
2021-10-30,40202,Santuario De Quillacas,Oruro,4474,1,40
2021-10-30,40202,Santuario De Quillacas,Oruro,4474,2,38
2021-11-13,40202,Santuario De Quillacas,Oruro,4474,1,40
2021-10-23,40202,Santuario De Quillacas,Oruro,4474,1,39
2021-10-23,40202,Santuario De Quillacas,Oruro,4474,2,38
2021-12-18,40202,Santuario De Quillacas,Oruro,4474,2,40
2022-01-22,40202,Santuario De Quillacas,Oruro,4474,1,43
