fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-13,20601,Sorata,La Paz,26065,1,20
2021-12-04,20601,Sorata,La Paz,26065,2,21
2021-11-20,20601,Sorata,La Paz,26065,1,21
2021-11-20,20601,Sorata,La Paz,26065,2,19
2021-11-27,20601,Sorata,La Paz,26065,1,21
2021-10-30,20601,Sorata,La Paz,26065,2,17
2021-10-30,20601,Sorata,La Paz,26065,1,17
2021-10-23,20601,Sorata,La Paz,26065,2,15
2021-11-27,20601,Sorata,La Paz,26065,2,19
2021-10-23,20601,Sorata,La Paz,26065,1,16
2021-12-04,20601,Sorata,La Paz,26065,1,22
2021-11-13,20601,Sorata,La Paz,26065,2,19
