fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-20,20608,Teoponte,La Paz,10063,1,42
2021-12-04,20608,Teoponte,La Paz,10063,1,45
2021-12-04,20608,Teoponte,La Paz,10063,2,41
2021-11-27,20608,Teoponte,La Paz,10063,2,38
2021-11-27,20608,Teoponte,La Paz,10063,1,42
2021-11-20,20608,Teoponte,La Paz,10063,2,38
2021-10-23,20608,Teoponte,La Paz,10063,2,24
2021-11-13,20608,Teoponte,La Paz,10063,2,38
2021-11-13,20608,Teoponte,La Paz,10063,1,41
2021-10-30,20608,Teoponte,La Paz,10063,2,25
2021-10-30,20608,Teoponte,La Paz,10063,1,29
2021-10-23,20608,Teoponte,La Paz,10063,1,28
