fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-10-23,30803,Tolata,Cochabamba,6183,2,82
2021-12-04,30803,Tolata,Cochabamba,6183,1,93
2021-11-27,30803,Tolata,Cochabamba,6183,1,92
2021-12-04,30803,Tolata,Cochabamba,6183,2,86
2021-12-18,30803,Tolata,Cochabamba,6183,1,94
2021-12-18,30803,Tolata,Cochabamba,6183,2,88
2021-10-23,30803,Tolata,Cochabamba,6183,1,90
2022-01-22,30803,Tolata,Cochabamba,6183,1,108
2021-11-27,30803,Tolata,Cochabamba,6183,2,83
2021-10-30,30803,Tolata,Cochabamba,6183,1,91
2021-10-30,30803,Tolata,Cochabamba,6183,2,82
2021-11-13,30803,Tolata,Cochabamba,6183,1,91
2021-11-13,30803,Tolata,Cochabamba,6183,2,83
2021-11-20,30803,Tolata,Cochabamba,6183,1,92
2021-11-20,30803,Tolata,Cochabamba,6183,2,83
2022-01-22,30803,Tolata,Cochabamba,6183,2,91
