fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2022-01-22,50602,Vitichi,Potosí,10332,2,49
2021-10-23,50602,Vitichi,Potosí,10332,2,40
2021-10-30,50602,Vitichi,Potosí,10332,1,49
2021-10-30,50602,Vitichi,Potosí,10332,2,40
2021-11-13,50602,Vitichi,Potosí,10332,1,51
2021-11-13,50602,Vitichi,Potosí,10332,2,47
2021-11-20,50602,Vitichi,Potosí,10332,1,51
2021-11-20,50602,Vitichi,Potosí,10332,2,47
2021-11-27,50602,Vitichi,Potosí,10332,1,51
2021-11-27,50602,Vitichi,Potosí,10332,2,47
2021-12-04,50602,Vitichi,Potosí,10332,1,52
2021-12-04,50602,Vitichi,Potosí,10332,2,47
2021-12-18,50602,Vitichi,Potosí,10332,1,52
2021-12-18,50602,Vitichi,Potosí,10332,2,47
2021-10-23,50602,Vitichi,Potosí,10332,1,48
2022-01-22,50602,Vitichi,Potosí,10332,1,55
